"term","estimate","std.error","statistic","p.value"
"(Intercept)",-2.81557187372161,0.666343398608451,-4.22540671912031,2.38509608969379e-05
"age",0.0248449887458119,0.0136351397650419,1.8221293784982,0.0684353569857881
"genderMale",-0.292610959468292,0.442492822821158,-0.661278430693454,0.508433771312263
"genderOther",13.8722023241064,574.001257845513,0.0241675469077805,0.980718964381523
"family_historyYes",0.927808416891227,0.20471757610197,4.53213854207166,5.83895327980128e-06
"work_interfereOften",3.19998515028541,0.385368060813943,8.30371137537102,1.00908603882397e-16
"work_interfereRarely",2.30000399836669,0.323528289066622,7.10912793747403,1.16778459732101e-12
"work_interfereSometimes",2.72055067086003,0.290488920589312,9.3654197390416,7.5748607521123e-21
"benefitsNo",0.265149492684313,0.265635185494342,0.998171579532561,0.318196165250436
"benefitsYes",0.934515210263725,0.26854656626585,3.4799000533062,0.000501600869761178
"seek_helpNo",-0.342902804817736,0.25738733608726,-1.33224427444824,0.18277993213014
"seek_helpYes",-0.697757124537536,0.329037608865346,-2.12059991240419,0.0339554855152347
"anonymityNo",0.229039198515689,0.434854370367392,0.526703223247321,0.598399696931904
"anonymityYes",0.741598295799217,0.245161515783436,3.02493763521315,0.00248684400183345
